AirQualityStation,Countrycode,Altitude,AreaType,StationType,PopulationDensity,no2_average
STA.DE_DEBW087,DE,798.0,rural-regional,background,262.1,7.242141680728362
STA.DE_DEBB067,DE,31.0,suburban,background,94.6,13.814766098254914
STA.DE_DEBB066,DE,52.0,rural-regional,background,76.2,8.665383063577082
STA.DE_DEBB065,DE,111.0,rural-regional,background,84.0,9.19073816889043
STA.DE_DEBB064,DE,75.0,urban,background,609.9,13.12275164180234
STA.DE_DEBB063,DE,22.0,suburban,background,36.2,10.881411429099508
STA.DE_DEBB060,DE,20.0,urban,traffic,126.8,23.43519624722085
STA.DE_DEBB055,DE,33.0,suburban,background,367.4,14.161330134370283
STA.DE_DEBB054,DE,31.0,urban,traffic,1034.5,36.19961044534144
STA.DE_DEBB053,DE,88.0,rural-regional,background,91.0,9.919649977139366
STA.DE_DEBB049,DE,33.0,urban,traffic,367.4,26.488816777072664
STA.DE_DEBB048,DE,43.0,suburban,background,40.1,13.586103373807047
STA.DE_DEBB045,DE,56.0,urban,traffic,403.2,34.49754974891982
STA.DE_DEBB044,DE,75.0,urban,traffic,609.9,27.492486538602687
STA.DE_DEBB032,DE,40.0,suburban,industrial,81.0,12.264171835504445
STA.DE_DEBB029,DE,5.0,suburban,industrial,40.2,11.617052161943901
STA.DE_DEBB021,DE,31.0,urban,background,1034.5,17.588310081703494
STA.DE_DEBB007,DE,89.0,suburban,background,54.7,13.838710071911454
STA.DE_DEBB068,DE,71.0,urban,traffic,126.8,23.90097712030808
STA.CZ_ZZLN,CZ,258.0,suburban,background,149.1,12.406200058663847
STA.DE_DEBB073,DE,32.0,urban,traffic,1034.5,32.6388490834955
STA.DE_DEBB083,DE,99.0,suburban,background,70.5,10.883806057163637
STA.DE_DEBE065,DE,40.0,urban,traffic,4289.8,37.52893194423252
STA.DE_DEBE064,DE,40.0,urban,traffic,4289.8,45.03591008236657
STA.DE_DEBE063,DE,40.0,urban,traffic,4289.8,48.96229579161644
STA.DE_DEBE062,DE,50.0,rural-nearcity,background,4289.8,13.648246514357936
STA.DE_DEBE061,DE,45.0,urban,traffic,4289.8,43.47794780001495
STA.DE_DEBE056,DE,35.0,rural-nearcity,background,4289.8,12.977069052779386
STA.DE_DEBE051,DE,60.0,suburban,background,4289.8,15.268610099990935
STA.DE_DEBE034,DE,35.0,urban,background,4289.8,24.220029850645307
STA.DE_DEBE032,DE,50.0,rural-nearcity,background,4289.8,15.926676554145274
STA.DE_DEBE027,DE,45.0,rural-nearcity,background,4289.8,15.306332803905098
STA.DE_DEBE018,DE,40.0,urban,background,4289.8,24.90268286678472
STA.DE_DEBE010,DE,35.0,urban,background,4289.8,27.129623460871315
STA.DE_DEBB099,DE,53.0,suburban,traffic,91.0,18.477134465196713
STA.DE_DEBB092,DE,74.0,suburban,background,403.2,13.583174716113955
STA.DE_DEBB086,DE,43.0,suburban,background,80.2,16.605190550616086
STA.DE_DEBB075,DE,39.0,suburban,background,1034.5,15.247537710001247
STA.CZ_ZUHR,CZ,191.0,urban,traffic,149.1,27.0561530319032
STA.CZ_ZTNV,CZ,280.0,rural-regional,background,149.1,8.154030965179304
STA.CZ_UULM,CZ,147.0,urban,background,156.8,21.883145777706986
STA.CZ_LLIL,CZ,422.0,urban,background,141.8,13.913809097102005
STA.CZ_KSOM,CZ,476.0,suburban,background,91.1,12.238085555811095
