idx,AirQualityStation,no2,img_path,s5p_path,date_str
0,06-097-0004,13.533592447741935,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018
1,06-097-0004,13.257821704285718,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018
2,06-097-0004,8.389698006451614,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018
3,06-097-0004,5.649907537333332,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018
4,06-097-0004,3.877958234838709,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018
5,06-097-0004,3.7587156358620684,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018
6,06-097-0004,2.66605013548387,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018
7,06-097-0004,3.8562911741935486,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018
8,06-097-0004,5.415039576000002,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018
9,06-097-0004,8.039928979354839,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018
10,06-097-0004,19.290263642666662,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018
11,06-097-0004,12.645623812903226,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018
12,06-097-0004,12.505210676129035,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019
13,06-097-0004,9.825419629629627,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019
14,06-097-0004,8.271773835999996,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019
15,06-097-0004,4.265754717333333,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019
16,06-097-0004,3.2911504993548384,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019
17,06-097-0004,3.1475510213333333,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019
18,06-097-0004,2.6793565935483863,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019
19,06-097-0004,3.4047424038709684,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019
20,06-097-0004,5.122740747999997,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019
21,06-097-0004,11.319030948571427,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019
