idx,AirQualityStation,no2,img_path,s5p_path,date_str
0,STA_ES1945A,20.815168029064488,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2018
1,STA_ES1945A,21.342764378478662,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-1-2019
2,STA_ES1945A,10.961909132629648,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-2-2019
3,STA_ES1945A,13.525956284153006,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-3-2019
4,STA_ES1945A,17.550816696914698,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2019
5,STA-NL00445,35.356263034543865,STA-NL00445/S2A_MSIL2A_20200321T105021_N0214_R051_T31UET_20200321T135104.npy,STA-NL00445/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2018
6,STA-NL00445,36.78964765479826,STA-NL00445/S2A_MSIL2A_20200321T105021_N0214_R051_T31UET_20200321T135104.npy,STA-NL00445/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-1-2019
7,STA-NL00445,26.70277158401556,STA-NL00445/S2A_MSIL2A_20200321T105021_N0214_R051_T31UET_20200321T135104.npy,STA-NL00445/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-2-2019
8,STA-NL00445,24.43806611952435,STA-NL00445/S2A_MSIL2A_20200321T105021_N0214_R051_T31UET_20200321T135104.npy,STA-NL00445/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-3-2019
9,STA-NL00445,31.93857856101245,STA-NL00445/S2A_MSIL2A_20200321T105021_N0214_R051_T31UET_20200321T135104.npy,STA-NL00445/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2019
10,STA_ES1370A,10.624830393487107,STA_ES1370A/S2B_MSIL2A_20200806T105619_N0214_R094_T30SVF_20200806T135250.npy,STA_ES1370A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2018
11,STA_ES2063A,22.265906837720365,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2018
12,STA_ES2063A,28.069874273936037,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-1-2019
13,STA_ES2063A,13.275313223665874,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-2-2019
14,STA_ES2063A,16.541745729354847,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-3-2019
15,STA_ES2063A,23.629718503890036,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2019
16,STA_ES1997A,11.692890117783973,STA_ES1997A/S2B_MSIL2A_20200112T111329_N0213_R137_T29TQE_20200112T122412.npy,STA_ES1997A/l3_mean_quarterly_europe_2018_2020_005dg.netcdf,Q-4-2018
