idx,AirQualityStation,no2,img_path,s5p_path,date_str
0,06-097-0004,11.676011242222213,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2018
1,06-097-0004,4.430185387111108,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2018
2,06-097-0004,3.963519216086957,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2018
3,06-097-0004,13.26043528086956,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2018
4,06-097-0004,10.239784955000003,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2019
5,06-097-0004,3.5651081059340664,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2019
6,06-097-0004,3.7205357756521726,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2019
7,06-097-0004,11.851293871910114,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2019
8,06-097-0004,10.094045756483514,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2020
9,06-097-0004,3.633964738021978,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2020
10,06-097-0004,4.041087566521739,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2020
11,06-097-0004,11.208013022173915,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2020
12,06-037-1302,42.72460454682353,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2018
13,06-037-1302,16.67738593204819,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2018
14,06-037-1302,15.381857784719095,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2018
15,06-037-1302,39.83547042410257,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2018
16,06-037-1302,33.139762546966296,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2019
17,06-037-1302,14.791221500659347,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2019
18,06-037-1302,17.530928580434786,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2019
19,06-037-1302,41.611773215384616,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2019
20,06-037-1302,34.38182440835165,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2020
21,06-037-1302,12.95673782945055,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2020
22,06-037-1302,17.91975759826087,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2020
23,06-037-1302,43.49478171511111,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2020
24,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2018
25,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2018
26,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2018
27,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2018
28,06-037-5005,24.05906796622223,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2019
29,06-037-5005,8.081740322637362,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2019
30,06-037-5005,9.375807345333335,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2019
31,06-037-5005,30.07877673304348,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2019
32,06-037-5005,24.774266520439554,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2020
33,06-037-5005,7.793210855384612,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2020
34,06-037-5005,8.879594257391302,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2020
35,06-037-5005,30.066257445217385,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2020
36,06-037-1701,45.70690579466668,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2018
37,06-037-1701,26.604416109890103,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2018
38,06-037-1701,29.16082567956522,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2018
39,06-037-1701,45.13674558913044,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2018
40,06-037-1701,37.68578260355557,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2019
41,06-037-1701,21.730941175824174,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2019
42,06-037-1701,29.81246674304347,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2019
43,06-037-1701,45.66795890000001,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-4-2019
44,06-037-1701,37.6864872307692,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-1-2020
45,06-037-1701,19.68408499868131,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-2-2020
46,06-037-1701,33.28735850093023,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_quarterly_US_large_2018_2020_005dg.netcdf,Q-3-2020
